0,1
Date,Gold Price per Gram
Current Price,31588.4 LKR
29-Apr-2025,31901.6  LKR
28-Apr-2025,32157.5  LKR
27-Apr-2025,31880.4  LKR
26-Apr-2025,31880.4  LKR
25-Apr-2025,31880.4  LKR
24-Apr-2025,32220.8  LKR
23-Apr-2025,31637.7  LKR
22-Apr-2025,32540.2  LKR
21-Apr-2025,32885.2  LKR
20-Apr-2025,31858.8  LKR
19-Apr-2025,31858.8  LKR
18-Apr-2025,31858.8  LKR
17-Apr-2025,31858.8  LKR
16-Apr-2025,32010.1  LKR
15-Apr-2025,30937.4  LKR
14-Apr-2025,30723.9  LKR
13-Apr-2025,30920.6  LKR
12-Apr-2025,30920.6  LKR
11-Apr-2025,30992.6  LKR
10-Apr-2025,30294.9  LKR
09-Apr-2025,29350.8  LKR
08-Apr-2025,28533.9  LKR
07-Apr-2025,28535.3  LKR
06-Apr-2025,28939.2  LKR
05-Apr-2025,28939.2  LKR
04-Apr-2025,28939.2  LKR
03-Apr-2025,29693.4  LKR
02-Apr-2025,29777.2  LKR
01-Apr-2025,29610.2  LKR
31-Mar-2025,29696.8  LKR
30-Mar-2025,29008.6  LKR
29-Mar-2025,29317.6  LKR
28-Mar-2025,29317.6  LKR
27-Mar-2025,29050.4  LKR
26-Mar-2025,28738.4  LKR
25-Mar-2025,28730.9  LKR
24-Mar-2025,28705.5  LKR
23-Mar-2025,28689.3  LKR
22-Mar-2025,28689.3  LKR
21-Mar-2025,28756.6  LKR
20-Mar-2025,28970.7  LKR
19-Mar-2025,28986  LKR
18-Mar-2025,28836.8  LKR
17-Mar-2025,28544.2  LKR
16-Mar-2025,28363.2  LKR
15-Mar-2025,28363.2  LKR
14-Mar-2025,28370  LKR
13-Mar-2025,28332.7  LKR
12-Mar-2025,27840.2  LKR
11-Mar-2025,27653.8  LKR
10-Mar-2025,27409.1  LKR
09-Mar-2025,27646.4  LKR
08-Mar-2025,27646.4  LKR
07-Mar-2025,27627.2  LKR
06-Mar-2025,27625.5  LKR
05-Mar-2025,27638.7  LKR
04-Mar-2025,27652.6  LKR
03-Mar-2025,27375.6  LKR
02-Mar-2025,27134.7  LKR
01-Mar-2025,27069.8  LKR
28-Feb-2025,27069.8  LKR
27-Feb-2025,27265.7  LKR
26-Feb-2025,27683.4  LKR
25-Feb-2025,27639.8  LKR
24-Feb-2025,28017.3  LKR
23-Feb-2025,27888.7  LKR
22-Feb-2025,27888.7  LKR
21-Feb-2025,27892.1  LKR
20-Feb-2025,27920.4  LKR
19-Feb-2025,27946  LKR
18-Feb-2025,27925.6  LKR
17-Feb-2025,27511.3  LKR
16-Feb-2025,27271.1  LKR
15-Feb-2025,27271.1  LKR
14-Feb-2025,27276.9  LKR
13-Feb-2025,27851.5  LKR
12-Feb-2025,27705.6  LKR
11-Feb-2025,27628.7  LKR
10-Feb-2025,27936.2  LKR
09-Feb-2025,27318.5  LKR
08-Feb-2025,27318.5  LKR
07-Feb-2025,27318.5  LKR
06-Feb-2025,27349.1  LKR
05-Feb-2025,27481.5  LKR
04-Feb-2025,27330.9  LKR
03-Feb-2025,27054.2  LKR
02-Feb-2025,27164.7  LKR
01-Feb-2025,26817.4  LKR
31-Jan-2025,26773.2  LKR
30-Jan-2025,26679.7  LKR
29-Jan-2025,26282.2  LKR
28-Jan-2025,26363.4  LKR
27-Jan-2025,26261.7  LKR
26-Jan-2025,26486.7  LKR
25-Jan-2025,26486.7  LKR
24-Jan-2025,26544.1  LKR
23-Jan-2025,26462.7  LKR
22-Jan-2025,26171.4  LKR
21-Jan-2025,26205.4  LKR
20-Jan-2025,25813.6  LKR
19-Jan-2025,25724.8  LKR
18-Jan-2025,25724.8  LKR
17-Jan-2025,25724.8  LKR
16-Jan-2025,25833.8  LKR
15-Jan-2025,25385.5  LKR
14-Jan-2025,25344.5  LKR
13-Jan-2025,25205.2  LKR
12-Jan-2025,25539.8  LKR
11-Jan-2025,25539.8  LKR
