0,1,2,3,4,5,6,7,8,9
,LP 95,LP 92,LAD,LSD,LK,LIK,FUR. 800,FUR 1500 (High),FUR. 1500 (Low)
01.04.2025,361,299,286,331,183,191,207,207,207
01.02.2025,371,309,286,331,183,191,207,207,207
01.01.2025,371,309,286,313,183,191,207,207,207
05.12.2024,371,309,286,313,188,196,207,207,207
01.12.2024,371,309,286,313,188,191,207,207,207
01.11.2024,371,311,283,313,183,191,207,207,207
05.10.2024,377,311,283,319,183,191,207,207,207
01.10.2024,377,311,283,319,183,210,199,199,199
05.09.2024,377,332,307,352,202,210,199,199,199
01.09.2024,377,332,307,352,202,219,199,199,199
15.07.2024,379,344,317,355,202,219,199,199,199
01.07.2024,379,344,317,355,202,210,196,196,196
05.06.2024,420,355,317,377,202,210,196,196,196
01.06.2024,420,355,317,377,202,223,188,188,188
06.05.2024,420,368,333,377,215,223,188,188,188
01.05.2024,420,368,333,377,215,250,189,189,189
06.04.2024,440,371,363,386,245,250,189,189,189
01.04.2024,440,371,363,386,245,260,204,204,204
05.03.2024,447,371,363,458,257,260,204,204,204
01.02.2024,456,371,363,468,262,266,201,201,201
01.01.2024,464,366,358,475,236,251,211,211,211
01.12.2023,426,346,329,434,247,288,207,207,207
01.11.2023,423,356,356,431,249,288,207,207,207
02.10.2023,420,365,351,421,242,300,191,191,191
01.09.2023,417,361,341,359,231,238,191,191,191
01.08.2023,375,348,306,358,226,231,203,203,203
01.07.2023,365,328,308,346,236,270,216,216,216
01.06.2023,385,318,310,340,245,270,216,216,216
01.05.2023,365,333,310,330,295,330,261,261,261
30.03.2023,375,340,325,465,295,330,320,320,320
02.03.2023,510,400,405,510,305,330,320,320,320
01.02.2023,510,400,405,510,355,464,320,320,320
03.01.2023,510,370,405,510,355,464,320,320,320
06.12.2022,510,370,420,510,365,464,320,320,320
12.11.2022,510,370,430,510,365,464,419,419,419
17.10.2022,510,370,415,510,340,464,320,320,320
17.10.2022(9.00 PM),510,370,415,510,340,464,419,419,419
02.10.2022,510,410,430,510,340,464,419,419,419
21.08.2022,540,450,430,510,340,464,419,419,419
01.08.2022,540,450,430,510,87,464,419,419,419
17.07.2022,540,450,440,510,87,464,419,419,419
26.06.2022,550,470,460,520,87,464,419,419,419
24.05.2022,450,420,400,445,87,399,369,369,369
22.04.2022,373,338,289,329,87,305,289,289,289
18.04.2022,373,338,289,329,87,160,214,214,214
22.03.2022,283,254,176,254,87,160,214,214,214
11.03.2022,283,254,176,254,87,110,214,214,214
27.12.2021,207,177,121,159,87,110,110,110,110
20.12.2021,207,177,121,159,87,110,92,96,96
11.06.2021,184,157,111,144,77,110,92,96,96
10.09.2019,161,137,104,132,70,110,92,96,96
13.08.2019,163,138,104,134,70,110,92,96,96
11.07.2019,159,136,104,131,70,110,92,96,96
11.06.2019,164,138,104,136,70,110,92,96,96
11.05.2019,164,135,104,136,70,110,92,96,96
13.03.2019,159,132,104,134,70,110,92,96,96
12.02.2019,152,129,103,126,70,110,92,96,96
11.01.2019,147,123,99,118,70,110,92,96,96
22.12.2018,149,125,101,121,70,110,92,96,96
01.12.2018,159,135,106,131,70,110,92,96,96
16.11.2018,164,140,111,136,70,110,92,96,96
02.11.2018,169,145,116,141,70,110,92,96,96
11.10.2018,169,155,123,141,70,110,92,96,96
11.09.2018,161,149,123,133,70,110,92,96,96
04.09.2018,157,145,118,130,70,110,92,96,96
11.08.2018,157,145,118,130,70,110,82.2,80,90
11.07.2018,155,145,118,129,70,110,82.2,80,90
13.06.2018,148,137,109,119,70,110,82.2,80,90
11.05.2018,148,137,109,119,101,110,82.2,80,90
28.11.2015,128,117,95,110,49,88,82.2,80,90
29.01.2015,128,117,95,110,59,88,82.2,80,90
22.01.2015,128,117,95,110,65,94,82.2,80,90
01.01.2015,158,150,111,133,81,110,82.2,80,90
05.12.2014,158,150,111,133,81,110,92.2,,90
17.09.2014,165,157,118,140,86,115,92.2,,90
23.02.2013,170,162,121,145,106,115,92.2,,90
14.12.2012,167,159,115,142,106,111,92.2,,90
12.02.2012,167,149,115,142,106,111,92.2,,90
30.10.2011,155,137,84,106.3,71,76,52.2,,50
01.04.2011,143,125,76,98.3,61,66,52.2,,50
01.09.2010,133,115,73,88.3,51,56,42.2,,40
29.12.2009,133,115,73,88.3,51,56,32.9,,32.7
02.07.2009,148,130,73,88.3,51,56,34.9,,32.7
30.12.2008,133,120,70,85.3,50,55,33.9,,25
06.12.2008,135,122,80,95.3,60,65,53.9.00,,51.7
07.11.2008,155,142,80,95.3,60,65,53.9,,51.7
25.05.2008,170,157,110,125.3,80,85,63.9,,61.7
14.01.2008,130,127,80,85.3,70,75,63.9,,61.7
29.07.2007,120,117,75,80.3,68,69,53.9,,51.7
30.06.2007,114,111,71,76.3,67,68,49.9,,47.7
12.05.2007,109,106,67,72.3,51,61.3,45.9,,43.7
28.04.2007,108,105,65,70.3,50,60.3,39.9,,37.3
19.04.2007,107,104,63,68.3,48,60.3,39.9,,37.3
05.01.2007,97,100,60,65.3,48,58.3,45.8,,37.7
01.01.2007,95,92,60,65.3,48,58.3,45.8,,37.7
27.12.2006,95,92,60,65.3,48,58.3,45.8,,43.3
26.10.2006,95,92,60,65.3,48,50.3,45.8,,43.3
02.08.2006,99,96,64,69.3,45.5,47.8,47.8,,45.3
