0,1,2,3,4,5,6,7,8,9
,LP 95,LP 92,LAD,LSD,LK,LIK,FUR. 800,FUR 1500 (High),FUR. 1500 (Low)
01.04.2025,361.00,299.00,286.00,331.00,183.00,191.00,207.00,207.00,207.00
01.02.2025,371.00,309.00,286.00,331.00,183.00,191.00,207.00,207.00,207.00
01.01.2025,371.00,309.00,286.00,313.00,183.00,191.00,207.00,207.00,207.00
05.12.2024,371.00,309.00,286.00,313.00,188.00,196.00,207.00,207.00,207.00
01.12.2024,371.00,309.00,286.00,313.00,188.00,191.00,207.00,207.00,207.00
01.11.2024,371.00,311.00,283.00,313.00,183.00,191.00,207.00,207.00,207.00
05.10.2024,377.00,311.00,283.00,319.00,183.00,191.00,207.00,207.00,207.00
01.10.2024,377.00,311.00,283.00,319.00,183.00,210.00,199.00,199.00,199.00
05.09.2024,377.00,332.00,307.00,352.00,202.00,210.00,199.00,199.00,199.00
01.09.2024,377.00,332.00,307.00,352.00,202.00,219.00,199.00,199.00,199.00
15.07.2024,379.00,344.00,317.00,355.00,202.00,219.00,199.00,199.00,199.00
01.07.2024,379.00,344.00,317.00,355.00,202.00,210.00,196.00,196.00,196.00
05.06.2024,420.00,355.00,317.00,377.00,202.00,210.00,196.00,196.00,196.00
01.06.2024,420.00,355.00,317.00,377.00,202.00,223.00,188.00,188.00,188.00
06.05.2024,420.00,368.00,333.00,377.00,215.00,223.00,188.00,188.00,188.00
01.05.2024,420.00,368.00,333.00,377.00,215.00,250.00,189.00,189.00,189.00
06.04.2024,440.00,371.00,363.00,386.00,245.00,250.00,189.00,189.00,189.00
01.04.2024,440.00,371.00,363.00,386.00,245.00,260.00,204.00,204.00,204.00
05.03.2024,447.00,371.00,363.00,458.00,257.00,260.00,204.00,204.00,204.00
01.02.2024,456.00,371.00,363.00,468.00,262.00,266.00,201.00,201.00,201.00
01.01.2024,464.00,366.00,358.00,475.00,236.00,251.00,211.00,211.00,211.00
01.12.2023,426.00,346.00,329.00,434.00,247.00,288.00,207.00,207.00,207.00
01.11.2023,423.00,356.00,356.00,431.00,249.00,288.00,207.00,207.00,207.00
02.10.2023,420.00,365.00,351.00,421.00,242.00,300.00,191.00,191.00,191.00
01.09.2023,417.00,361.00,341.00,359.00,231.00,238.00,191.00,191.00,191.00
01.08.2023,375.00,348.00,306.00,358.00,226.00,231.00,203.00,203.00,203.00
01.07.2023,365.00,328.00,308.00,346.00,236.00,270.00,216.00,216.00,216.00
01.06.2023,385.00,318.00,310.00,340.00,245.00,270.00,216.00,216.00,216.00
01.05.2023,365.00,333.00,310.00,330.00,295.00,330.00,261.00,261.00,261.00
30.03.2023,375.00,340.00,325.00,465.00,295.00,330.00,320.00,320.00,320.00
02.03.2023,510.00,400.00,405.00,510.00,305.00,330.00,320.00,320.00,320.00
01.02.2023,510.00,400.00,405.00,510.00,355.00,464.00,320.00,320.00,320.00
03.01.2023,510.00,370.00,405.00,510.00,355.00,464.00,320.00,320.00,320.00
06.12.2022,510.00,370.00,420.00,510.00,365.00,464.00,320.00,320.00,320.00
12.11.2022,510.00,370.00,430.00,510.00,365.00,464.00,419.00,419.00,419.00
17.10.2022,510.00,370.00,415.00,510.00,340.00,464.00,320.00,320.00,320.00
17.10.2022(9.00 PM),510.00,370.00,415.00,510.00,340.00,464.00,419.00,419.00,419.00
02.10.2022,510.00,410.00,430.00,510.00,340.00,464.00,419.00,419.00,419.00
21.08.2022,540.00,450.00,430.00,510.00,340.00,464.00,419.00,419.00,419.00
01.08.2022,540.00,450.00,430.00,510.00,87.00,464.00,419.00,419.00,419.00
17.07.2022,540.00,450.00,440.00,510.00,87.00,464.00,419.00,419.00,419.00
26.06.2022,550.00,470.00,460.00,520.00,87.00,464.00,419.00,419.00,419.00
24.05.2022,450.00,420.00,400.00,445.00,87.00,399.00,369.00,369.00,369.00
22.04.2022,373.00,338.00,289.00,329.00,87.00,305.00,289.00,289.00,289.00
18.04.2022,373.00,338.00,289.00,329.00,87.00,160.00,214.00,214.00,214.00
22.03.2022,283.00,254.00,176.00,254.00,87.00,160.00,214.00,214.00,214.00
11.03.2022,283.00,254.00,176.00,254.00,87.00,110.00,214.00,214.00,214.00
27.12.2021,207.00,177.00,121.00,159.00,87.00,110.00,110.00,110.00,110.00
20.12.2021,207.00,177.00,121.00,159.00,87.00,110.00,92.00,96.00,96.00
11.06.2021,184.00,157.00,111.00,144.00,77.00,110.00,92.00,96.00,96.00
10.09.2019,161.00,137.00,104.00,132.00,70.00,110.00,92.00,96.00,96.00
13.08.2019,163.00,138.00,104.00,134.00,70.00,110.00,92.00,96.00,96.00
11.07.2019,159.00,136.00,104.00,131.00,70.00,110.00,92.00,96.00,96.00
11.06.2019,164.00,138.00,104.00,136.00,70.00,110.00,92.00,96.00,96.00
11.05.2019,164.00,135.00,104.00,136.00,70.00,110.00,92.00,96.00,96.00
13.03.2019,159.00,132.00,104.00,134.00,70.00,110.00,92.00,96.00,96.00
12.02.2019,152.00,129.00,103.00,126.00,70.00,110.00,92.00,96.00,96.00
11.01.2019,147.00,123.00,99.00,118.00,70.00,110.00,92.00,96.00,96.00
22.12.2018,149.00,125.00,101.00,121.00,70.00,110.00,92.00,96.00,96.00
01.12.2018,159.00,135.00,106.00,131.00,70.00,110.00,92.00,96.00,96.00
16.11.2018,164.00,140.00,111.00,136.00,70.00,110.00,92.00,96.00,96.00
02.11.2018,169.00,145.00,116.00,141.00,70.00,110,92.00,96.00,96.00
11.10.2018,169.00,155.00,123.00,141.00,70.00,110.00,92.00,96.00,96.00
11.09.2018,161.00,149.00,123.00,133.00,70.00,110.00,92.00,96.00,96.00
